बश	bs
किसी	kisi
और	aur
को	ko
वबनाय़ा	bnaya
हो	ho
तेरे	tere
लिए	liye
जो	jo
करती	krti
हो	ho
तुझे	tujhe
आवबवबे	abay
शाले	salay
चोर	chor
ये	ye
तुने	tunay
क	k
से	say
चुराय़े	churay
है	hai
ओर	or
लिखता	likhta
तो	tah
मेरी	meri
कहानी	kahani
मादारचो	madarchoo#####
चोर	chor
यवब	jb
जाएगी	jaayegi
तवब	tb
बोलोगे	bologe
क्यू	kyu
करती	krti
रहति	rhti
हो	ho
कभि	kbhi
तो	toh
चेन	chen
से	se
दो	do
थोड़ा	thoda
दूर	dur
रह	rho
मुझसे	mujhse
तुम	tum
मुझ	mujh
पर	par
इतना	itna
शक	shaq
क्यू	kyu
करती	krti
हो	ho
मेरी	meri
एक	ek
थी	thi
अब	ab
भी	bhi
ह	h
सा	saal
हो	ho
चुके	chuke
हैं	hain
ओर	or
एक	ek
पिछले	pichle
एक	ek
सा	saal
से	se
है	hai
जो	jo
एक	ek
सा	saal
से	se
वो	vo
मेरी	meri
की	ki
है	hai
लेकिन	lekin
उन	un
दोनों	dono
को	ko
पाता	pta
चल	chal
गया	gya
क	k
उनका	unka
एक	ek
ही	hi
पहले	pehle
दोनों	dono
ने	ne
बोला	bola
तुम	tum
दूसरी	dusri
से	se
ही	hi
कर	kar
लो	lo
शादि	shadi
मैं	main
बीच	beech
से	se
हट	hat
जाती	jati
हूँ	hoon
फिर	fir
दोनों	dono
आपस	aapas
में	me
लड़ने	ladne
लगी	lgi
ओर	or
वबोलने	bolne
लगी	lgi
वो	vo
मुझे	mujhe
नहीं	nhi
छोड़	chod
सकती	sakti
किसी	kisi
क	k
लिए	liye
भी	bhi
क्या	kya
करूँ	karun
किस्से	kisse
शादि	shadi
करूँ	karun
ओर	or
आज	aj
तेरी	teri
गलती	galti
मान	maaf
किउकि	kyuki
सही	sahi
लाया	laya
ह	h
की	ki
जगह	jagah
रा	ra
ह	h
ओद	wd
सही	sahi
ह	h
तू	tu
खुदा	khuda
से	se
माँग	mang
कर	kar
लाये	laye
थे	the
चार	char
दिन	din
खुदा	khuda
से	se
माँग	mang
कर	kar
लाये	laye
थे	the
चार	char
दिन	din
दो	do
आरज़ू	aarzoo
में	me
गुज़र	guzar
गये	gaye
और	aur
दो	do
इंतज़ार	intezaar
में	me
अरे	are
वो	vo
उसकी	uski
मामि	mumi
नहीं	nhi
होती	hoti
तो	to
दोनों	dono
मुझे	mje
लेते	lete
तुम	tum
अब	ab
केइसा	kesa
लगा	lga
होगा	hoga
तेरे	tere
दोस्त	dost
को	ko
कुछ	kuch
एइसा	esa
ही	hi
उन	un
सब	sab
को	ko
लगता	lgta
होगा	hoga
जिन्हे	jinhe
हम	hum
छेते	chedte
ही	he
सो	so
दो	do
भाई	bhai
की	ki
कहा	kaha
देता	deta
ह	h
में	me
यह	yeh
किसी	kisi
मत	mata
सुन्दरी	sundri
वाली	wali
ने	ne
ना	na
डाला	daala
हो	ho
इय़ार	yr
ये	ye
का	ka
वबहत	bht
पक्का	pakka
राहा	rha
है	hai
करने	karne
के	ke
ब	b
के	ke
नी	ni
मिले	miley
इतना	itna
घटिया	ghatiya
पढ़	padh
के	ke
जी	jee
करता	krta
ह	h
मार	mar
याओ	jau
कौनसे	kaunse
में	me
यह	yeh
बोलते	bolte
हैं	hain
प्रधान	pradhan
स्थान	sthano
में	me
तो	toh
को	ko
ही	hi
माना	mana
जाता	jata
है	hai
और	aur
में	me
लो	lo
लको	ladhko
से	se
दूर	dur
रहने	rehne
क	k
लिए	liye
क्या	kya
वबकवबास	bakwas
है	hai
यह	yeh
जितनी	jitni
और	aur
की	ki
होती	hoti
हैं	hain
उन्ही	unhi
को	ko
क	k
बारे	bare
में	me
यादा	zada
पता	pata
होता	hota
है	hai
और	aur
उन्ही	unhi
क	k
यादा	zada
बनते	bante
हैं	hain
में	me
लके	ladhke
बनते	bante
हैं	hain
अपना	apna
कर	kar
दो	do
लड़कियाँ	ladkiya
कर	kar
लेंगी	lengi
वबो	woe
होगी	hogi
और	aur
देते	dete
देते	dte
कुत्तिय़ा	kuttiya
साली	saali
ये	ye
क	k
लोग	log
वैसे	vaise
कु	ku
वबेठे	bethe
ह	h
जब	jab
तक	tak
देश	desh
में	me
है	hai
लोग	log
चुथिय़े	chutiye
बनते	banate
रहेंगे	rahenge
यार	yaar
आप	aap
में	me
बैठ	baith
जो	jao
वापस	wapas
चले	chale
जो	jao
नाम	naam
ही	hi
काफ़ी	kafi
ह	h
करने	krne
स	s
कछ	kch
होगा	hoga
यार	yaar
में	me
ऐसा	aisa
करना	krna
ज़रूरी	zaruri
था	tha
लकिय़ा	ladkian
बहुत	bohot
ज्यादा	zyada
दिमाग	dimag
लगती	lagati
आवबे	abey
बढ़	bhad
म	m
जाए	jaye
दुनिय़ा	dungiya
और	aur
भेसे	vese
बि	bi
हाडड्डडिओ	haddiyo
पाए	pae
तो	to
कुत्ते	kutte
मरते	marte
ऐसी	aesi
होता	hota
ह	h
बच	bach
गा	gae
वबेटा	betta
मै	mai
तो	to
मस्त	mast
एक	ek
छाता	chata
तो	to
मारति	maarti
ही	hi
के	koe
नेइ	nie
पूरा	pura
है	hai
बस	bas
एक	ek
है	hai
के	ke
मरने	marne
के	ke
बार	baad
चाचा	chacha
लोग	log
ने	ne
हपने	hadapne
की	ki
कोशिश	koshish
ही	hi
नाहिकि	nahiki
जिसके	jiske
लिए	lie
तुमने	tumne
अपनी	apni
ज़िंदगी	zindgi
बरबाद	barbaad
कर	kar
ली	li
है	hai
उसको	usko
करने	karne
का	ka
एहि	yhi
मिला	mila
एक	ek
कम	kam
करो	karo
चुप	chup
छप	chap
करो	karo
और	aur
घर	ghar
बस	basa
लो	lo
तुमसे	tumse
ना	na
हो	ho
पाय़ेगा	paega
ये	ye
सब	sab
अब	ab
पाता	pta
चला	chala
तू	tu
क्यू	kyu
है	hai
वबहत	bhot
ह	h
तू	tu
तो	to
यार	yaar
खुले	khule
वबिचार	vichaaar
भाइ	vai
वब्याश	bass
हमको	humko
लगा	laga
पूरा	pura
महल्ला	moholla
तुम	tum
ही	hi
वबनाय़ेगा	bnayega
उसपे	uspe
छाप	chhap
फिर	phrr
वाला	wala
आप	aap
क	k
खुजलि	khujli
वाला	wala
ह	h
तू	tu
हमपे	humpe
चार	chada
का	ka
भूत	bhoot
कर	kar
की	ki
है	hai
थोड़ी	thodi
ओह	oh
आज	aaj
खोलकर	kholkr
पर	pr
करूंगी	karungi
पाक्का	pkka
के	ke
मत	mat
मानो	maano
ये	ye
से	se
अब	ab
तक	tak
ह	h
अबे	abe
क्यूँ	kyun
नींद	neend
भागा	bhaga
राहा	rha
है	hai
लोगों	logo
की	ki
ऐसे	aise
डडालके	daalke
जिस	jis
दिन	din
मार	mar
ग्याय़ि	gyi
उस	us
दिन	din
आज़ाद	azaad
हो	ho
जाएगा	jayega
उस	us
बंदी	bandi
का	ka
है	hai
वो	wo
पता	pata
लग	lg
गया	gaya
तो	to
क्या	kya
ह	h
अगर	agr
तुम	tum
लोग	log
प्याय़ार	pyr
करते	krte
ओ	o
तो	to
दिल	dil
ब	b
तो	to
क	k
हिसावब	hisab
से	se
बड़ा	bada
होगा	hoga
इय़ार	yr
क्र	kr
लेता	leta
और	aur
गडड्डडे	gadde
दोनों	dono
की	ki
देती	deti
हमारे	hamare
की	ki
तरह	tarah
और	aur
का	ka
चुथिय़ापा	chutiyapa
नहीं	nahin
दिखाते	dikhate
ये	ye
लोग	log
मै	mai
क	k
क	k
पास	pas
हू	hu
लकिय़ा	ldkiya
तार	tar
रहा	raha
हू	hu
क्या	kya
यार	yaar
कोई	koi
पढ़ा	padha
वो	wo
वबकवबास	bkwaas
निकला	nikla
ये	ye
उंगली	ungli
वाला	wala
साथ	sath
व	v
हुआ	hua
था	tha
भाई	bhai
इतना	itne
बड़े	bade
करके	karke
हम	hum
पर	par
जुलम	julam
ना	na
क्र	kr
मेरा	mera
के	ke
के	ke
साथ	saath
था	tha
मेरे	mere
पे	pe
ना	na
कोई	koi
करता	krta
ना	na
ऐसा	aisa
क्यू	kyu
ये	ye
तो	to
बिल्कुल	bilkul
वाले	wale
से	se
करती	krti
ह	h
चलो	chalo
सवब	sb
तक	thak
लो	lo
के	ke
आस	as
पास	pas
करना	krna
चालू	chalu
करूँगा	karunga
इस	is
गान्डडु	gandu
को	ko
क्यू	kyu
बनाया	banaya
पहला	pehla
वाला	wala
आवबे	abey
ह	h
तो	to
भी	bhi
क्र	kr
दिया	diya
क्र	kr
एक	ek
पर	par
इतना	itna
लफ़ड़ा	lafda
क्यू	q
यार	yar
शाले	sale
को	ko
देखते	dekhte
ही	he
आ	aa
गयी	gayi
तेरे	tere
अंदर	ander
एक	ek
ह	h
यहाँ	yahan
सवबको	sbko
मिलता	milta
ह	h
क	k
मार	mar
वालो	walo
क	k
लिए	liye
ये	ye
ह	h
यहाँ	yahan
पर	pr
मै	mai
भी	bhi
हो	ho
जाता	jata
ह	h
अबी	abi
तक	tak
हमारे	humare
क	k
थे	the
तो	to
थोड़ी	thodi
थी	thi
अब	ab
हम	hum
क	k
ह	h
हामसे	hmse
ये	ye
समझ	samaj
वबनता	bnta
ह	h
तो	to
जो	jo
सोच	soch
हामारि	hmri
होगी	hogi
वबोहि	whi
की	ki
ब	b
होगी	hogi
ना	na
तो	to
सोच	soch
बदलो	badlo
दुनिय़ा	dunia
तवबहि	tbi
वबदलेगि	bdlegi
हामही	hmi
स	s
तो	to
दुनिय़ा	dunia
हम	hum
नहीं	nhi
तो	to
ब	b
नहीं	nhi
अपने	apne
से	se
बात	baat
करो	karo
और	aur
सारी	saari
कहानी	kahani
सूना	suna
दो	do
वो	vo
आपको	aapko
करेंगे	karenge
वो	vo
आपकी	aapki
बात	baat
किसी	kisi
से	se
करेंगे	karenge
तो	to
आपको	aapko
आपकी	aapki
को	ko
मिल	mil
जाएगी	jaegi
भी	bhi
आप	aap
अपनी	apni
पढ़ाई	padhai
ब	b
पूरी	puri
क्र	kr
पाओगे	paoge
कुछ	kuch
दिन	din
पहले	pehle
मेरी	meri
एक	ek
ने	ne
मुझे	mujhe
मेरे	mere
के	ke
में	me
कुछ	kuch
ऐसा	aisa
बताया	bataya
जिससे	jissse
मुझे	mujhe
उसपे	uspe
करने	krne
का	ka
ब	b
मान	mann
नहीं	nhi
क्र	kr
राहा	rha
लेकिन	lekin
ये	ye
पुरानी	purani
बात	baat
थी	thi
मैने	mene
जब	jab
उस	usse
पूछा	pucha
तो	toh
सारी	saara
मुझपे	mujhpe
दाल	daal
दिया	diya
की	ki
तुझे	tujhe
तो	to
ही	hi
नहीं	nhi
ह	h
जब	jab
है	hai
तवबहि	tbhi
तो	to
मैने	mene
उस	usse
पूछा	pucha
था	tha
मेरी	meri
कहती	kehti
ह	h
लेकिन	lekin
वो	vo
पहले	pehle
ऐसा	aisa
था	tha
लेकिन	lekin
अब	ab
ऐसा	aisa
नहीं	nhi
ह	h
इन्सान	insaan
को	ko
दूसरा	dusra
तो	to
मिलना	milna
ही	hi
छिय़े	chiye
अब	ab
में	me
क्या	kya
करु	krun
की	ki
या	ya
अपने	apne
प्यार	pyaar
की	ki
तू	tu
की	ki
बात	bat
क्र	kr
राहा	rha
है	hai
या	ya
दूसरे	dusre
वाले	wale
की	ki
जो	jo
रात	rat
म	m
ही	hi
लगाय़ा	lgaya
जाता	jata
ह	h
इतना	itne
में	me
आपको	aapko
चाँद	chand
नज़र	nazar
कैसे	kaise
आ	aa
ग्याय़ामान्ना	gya(manna
पेगा	pdega
आपकी	aapki
तीर	teer
की	ki
नज़र	nazar
को	ko
या	ya
तो	to
आप	aap
देखते	dkhte
वबहत	bht
अच्छा	accha
हो	ho
या	ya
फेकते	fekte
वबहत	bht
अच्छा	accha
हो	ho
लगति	lgti
ह	h
पागल	pagal
र	r
तुझसे	tjhse
प्यार	pyar
करता	krta
ह	h
या	ya
तेरी	teri
से	se
मत	mat
हो	ho
पतली	patli
ह	h
य्याय़सि	jesi
ह	h
ह	h
बेटा	beta
पर	par
धाय़ान	dhayan
देह	deh
शादि	shadhi
तो	toh
एक	ek
दिन	din
हो	ho
ही	hi
जानी	jani
ह	h
तो	toh
उसी	usi
को	ko
मय	may
लय	lay
जान	jan
भुकर	bhukar
कही	kahi
की	ki
ओर	or
एक	ek
ओर	or
गुरुदोय़ारा	gurudawaray
लेह	leh
जय	jaya
कर	kar
उसे	usay
लंगर	langar
खिल्या	khilya
क्र	kr
उसकी	uski
भूख	bhukh
तो	toh
मिटाय़	mitay
गी	gi
तेरी	teri
क्र	kr
लेगा	lega
का	ka
क्या	kya
सच	sch
में	me
की	ki
ह	h
इसका	iska
कैसे	kaise
हुआ	hua
इतनी	itni
तो	toh
सूना	suna
था	tha
ये	ye
ब	b
शि	shi
ह	h
तो	toh
मेरे	mere
का	ka
है	hai
वो	woh
भी	bhi
पर	par
यहाँ	yahan
भी	bhi
में	mein
चोरी	chori
होती	hoti
है	hai
तो	to
पे	pe
करती	krti
ना	na
बोले	bole
तो	to
में	me
मै	mai
ऐसा	aisa
कर	kar
जाऊँगा	jaunga
और	aur
वैसा	vaisa
कर	kar
जाऊँगा	jaunga
देश	desh
के	ke
लिए	liye
उस	us
फिर	phir
किस	kis
पे	pe
करेंगे	karenge
सारे	sare
कर	kar
दिए	diye
भाई	bhai
जा	jaha
फाय़दा	fayeda
हो	ho
वहाँ	vaha
पे	pe
वाला	vala
लागू	lagu
हो	ho
जाता	jata
है	hai
थे	the
हो	ho
जाती	jati
है	hai
ये	ye
ऐसे	aise
लके	ldke
अब	ab
ब	b
करते	krte
या	ya
किय़ा	kia
किस	kise
ज़माने	jamane
मै	mai
वबान्दरिय़ा	bandariya
होगी	hogi
तवबहि	tabhe
अरे	are
रहने	rehne
दे	de
लकिओ	ladkio
के	ke
लिए	lie
भुलना	bhulna
जैसे	jaise
बनाना	banana
शाले	sale
तो	toh
बन	ban
जा	jaa
ही	hi
डाल	dal
के	ke
सोइओ	soiyo
हमेशा	hamesha
आच्छा	acha
जी	ji
ऐसा	aisa
क्या	kya
हम	hum
तो	to
ऐसे	aise
नी	ni
थे	the
जिसके	jiske
निकलते	niklte
ह	h
अबे	abe
यह	yeh
बोल	bol
ना	na
के	ke
तू	tu
देके	deke
मार	mar
राहा	rha
था	tha
महवब्वबत	mohabbt
है	hai
और	aur
वबताना	btana
व	v
नहीं	nhi
आता	aata
तो	toh
क्रा	kra
सकते	skte
हो	ho
ना	na
तन्हा	tanha
दिल	dil
तन्हा	tanha
सफ़र	safar
ढूँढे	dhunde
तुझे	tujhe
फिर	fir
क्यू	kyu
नज़र	nazar
जिस	jis
जिस	jis
को	ko
म्याँ	mh
की	ki
पाता	pta
है	hai
ठोको	thoko
के	ke
गिरने	girne
का	ka
कोई	koi
नहीं	nhi
अउरत	aurat
और	aur
क	k
को	ko
समझना	samajhna
मुश्किल	mushkil
ही	he
नई	nai
नामुमकिन	namumkin
है	hai
तू	tu
सठिय़ाग्याय़ा	satiyagaya
क्या	kya
भाई	bhai
मै	mai
केहता-	khta-2
ठिक	thk
ग्याय़ा	gyaa
हटाओ	hatao
बचाओ	bachao
किसी	kisi
ने	ne
सूनी	suni
नई	nai
मेरी	meri
बात	baat
को	ko
भूल	bhul
जा	ja
पे	pe
डडाय़ेन	dyaan
दे	de
इतना	itna
दर्द	dard
ह	h
में	me
शायद	shayed
अपनी	apni
वबता	bta
होगा	hoga
अपनी	apni
किसी	kisi
की	ki
ले	le
या	ya
सवब	sb
ठीक	thik
हो	ho
जाएगा	jayega
कह	keh
के	ke
लेली	leli
सवबने	sbne
तुम्हारी	tumhari
इय़ार	yr
तेरे	tere
तो	toh
मजे	maze
ह	h
जो	jo
ऐसी	aisi
लड़की	ladki
ह	h
पड़ोस	pados
में	me
इतना	itna
पता	pata
चल	chl
गया	gya
तेरे	tere
से	se
यार	yaar
यवब	jb
तेरे	tere
को	ko
तूने	tune
सवब	sb
वबता	bta
रखा	rkha
ह	h
तो	toh
अब	ab
क्यू	kyu
दर	darr
रहि	rhi
ह	h
कुदोस	kudos
तो	to
जो	jo
तूने	tune
इसकी	iski
नहीं	nhi
के	kie
आज	aj
तक	tak
वबहत	bhot
थी	thi
वो	vo
लकि	ladkii
एक	ek
दिन	din
मेरा	mera
एक	ek
हारामि	harami
के	ke
मुझसे	mujhse
पूछा	pucha
उसने	usne
तुझे	tuje
कौन	kaun
सी	si
लड़की	ladki
अच्छी	achi
लगती	lagti
है	hai
म्याँ	mein\
उसने	usne
अपने	apne
का	ka
नाम	naam
बताया	bataya
तो	toh
मैंने	maine
ब	b
में	mein
आखिर	aakr
उस	use
बटा	bata
दिया	dia
मेरे	mere
का	ka
नाम	naam
वो	vo
भेजो	bhencho
माचो	macho
साले	saale
ने	ne
अगले	agle
दिन	din
में	mein
के	ke
में	mein
उठा	utha
और	aur
बोला	bola
की	kii
मै	mai
ये	ye
बात	baat
तछ्र	tchr
को	ko
वबाताने	batane
य्यारा	jaara
हूँ	hun
उसने	usne
मुझसे	mujese
पूछा	pucha
ही	hi
था	tha
मेरी	meri
पोल	pol
खोलने	kholne
के	ke
लिए	liye
मैंने	maine
सोचा	socha
मजाक	mazak
कर	kar
रहा	raha
होगा	hoga
साले	saale
ने	ne
सच	sach
में	mein
को	ko
बटा	bata
दिया	dia
पूछा	pucha
तुमने	tumne
ऐसा	aisa
कहा	kaha
मै	mai
हाक्का	hakka
बक्का	bakka
माँ	maam
मजाक	mazak
में	me
कहा	kaha
था	tha\
इस	is
बीच	beech
नेहाल	nehal
ने	ne
अपना	apna
नाम	naam
सूना	suna
तो	toh
वो	vo
ब	b
खड़ी	khadi
हो	ho
गयी	gayi
और	aur
सुन	sun
लिय़ा	lia
उसने	usne
ब	b
सब	sab
बच्चा	bachcha
था	tha
तब	tab
इसलिए	isliye
दर	darr
गया	gaya
था	tha
उस	us
बहन	behen
के	ke
ताक्के	takke
को	ko
शांति	shanti
नी	ni
मिली	mili
साले	saale
ने	ne
अपनी	apni
वबेन	bhen
को	ko
ये	ye
बटा	bata
दी	di
ये	ye
बात	baat
मेरे	mere
वबेन	bhen
के	ke
सामने	saamne
मेरी	meri
बहन	behen
ने	ne
पूछा	poocha
क्या	kya
ऐसा	aisa
बोला	bola
तूने	tune
दिया	diya
म्याय़ने	mne\
मजाक	mazak
में	mein
कहा	kaha
था	tha\
के	ke
साथ	saath
बहन	behen
ने	ne
बात	baat
घर	ghar
में	mein
बटा	bata
दी	di
घर	ghar
में	mein
मम्मी	mummy
ने	ne
पूछा	poocha
दिया	diya
मैंने	maine
क्या	kya
करता	karta
कुछ	kuch
में	me
नी	ni
आरा	aara
था	tha
हार	har
जगह	jagah
यही	yehi
बोल	bol
दिया	dia
अगले	agle
सा	saal
ने	ne
छोड़	chhod
दिया	dia
उस	us
हारामि	harami
का	ka
नाम	naam
था	tha
था	tha
साला	saala
अभी	abhi
बि	bi
मेरी	meri
प्यारी	pyaari
सी	si
की	ki
है	hai
मेरे	mere
पाश	paash
जो	jo
में	me
खिँचाय़ी	khichwayi
थी	thi
हमने	humne
वाले	waale
दिन	din
की	ki
सी	si
बिल्कुल	bilkul
मेरे	mere
मेरे	mere
खड़ी	khadi
है	hai
मेरे	mere
चेहरे	chehre
एक	ek
वबि	badiii
सी	si
है	hai
क्यू	kyu
हो	ho
मेरी	meri
खड़ी	khadi
मेरे	mere
साथ	saath
जो	jo
ब	b
है	hai
अभी	abhi
भी	bhi
बच्चा	baccha
था	tha
इसलिए	isliye
यादा	zada
सोचा	socha
नी	ni
उस	us
पे	pe
इन	in
सब	sab
के	ke
बारे	baare
में	mein
अब	ab
से	se
का	ka
का	qa
मतलवब	mtlv
अगर	agr
वो	vo
पूरी	puri
सोये	soye
ही	hhi
ने	nae
वोह	voh
खेल	khel
रहे	rae
थे	the
या	ya
साँप	saanp
सीधी	sidi
यह	yeh
सोचने	socchne
की	ki
बात	baat
ह	h
तो	to
मेंइ	mei
मिलेगी	milegi
तो	to
हिन्दी	hindi
मेंइ	mei
पर	par
क्रा	kra
ऊपर	upar
से	se
गलत	galat
तेरा	tera
तो	to
हिन्दी	hindi
मेंइ	mei
भी	bhi
झोल	jhol
ये	ye
वबनेगे	bnege
देश	desh
के	ke
उनका	unka
क्या	kya
जो	jo
सच	sach
बोल	bol
क	k
भी	bhi
धोका	dhoka
खा	kha
जाते	jate
हार	har
कोई	koi
इन्सान	insaan
एक	ek
जैसा	jaisa
नई	nai
होता	hta
अपने	apne
गिरेवबान	girwan
में	me
झाँक	jhank
जा	jara
तूने	tune
ब	b
लिखा	likha
है	hai
आजाते	ajate
है	hai
दुसरो	dusro
क	k
गलती	galti
निकलने	nikalne
पतानि	patani
कहाँ	kahan
कहाँ	kahan
से	se
घर	ghr
चोर	chor
दोगे	doge
तो	tho
घर	ghr
वाले	wale
कश	ksh
हो	ho
याय़ेङ्गे	jaenge
क्या	kya
यह	yaha
लिख	likh
रह	rahe
हो	ho
नटङ्कि	nautanki
वबन्द	bnd
कर	kar
अब	ab
वबरना	wrna
जुते	joote
मिल	mil
गा	gae
ह	h
तेरा	tera
लगता	lagta
है	hai
र	r
तू	tu
वबत्तमीज	btameez
दिल	dil
वबत्तमीज	btameez
दिल	dil
माने	mane
ना	na
माने	maane
ना	na
मेरा	mera
वाला	wala
तो	to
लालू	lallu
था	tha
उसको	usko
पता	pata
ह	h
नई	nai
लगा	laga
म्याय़ने	mne
कल	kal
म्याय़ने	mne
दस्तक	dastak
प	p
देखी	dekhi
थी	thi
तुमने	tumne
कहो	khud
का	ka
किया	kiya
मैने	mene
कवबि	kabi
पड़े	pade
नही	nahi
कन	kon
पड़ता	padta
इतना	itne
लम्बी	lambi
लम्बी	lambi
कर	kar
तो	to
सब	sab
को	ko
यार	yaar
अब	ab
गया	gya
तो	to
जाने	jane
दे	de
से	se
चलता	chlta
ह	h
मुझे	mjhe
तो	to
फिर	fir
से	se
होना	hona
चाहिय़े	chaiye
था	tha
ता	ta
क्याहदो	kdo
दा	da
त्यार	tyar
बैठा	baitha
बस	bas
उ	u
ता	ta
क्र	kr
हम	hum
सही	sahi
पर	par
आ	aa
ग्याय़े	gye
में	mein
इस	is
सा	saal
तो	to
ला	lag
जाती	jati
और	aur
तुम्हे	tumhe
की	ki
पड़ी	padi
ह	h
ऐसा	aisa
मत	mt
करना	krna
वबरना	wrna
वो	wo
वबन्दावबन्दि	bnda/i
तेरे	tere
पर	pr
का	ka
ठोक	thok
देगा	dega
आधे	aadhe
करने	krne
वाले	vale
कितने	kitne
चुथिय़े	chutiye
होते	hote
है	hai
जिन्हे	jinhe
पाकाउ	pakau
या	ya
एक	ek
में	me
ही	hi
नी	ni
पाता	pta
लड़का	ladka
वबश	bs
कमाउ	kamau
होना	hona
चाहिय़े	chaiye
वबिय़ा	badiya
तो	to
मेरे	mere
क	k
बि	bi
ह	h
अबे	abe
पेहले	phle
तू	tu
ये	ye
वबता	bta
की	ki
इस	is
कैसे	kaise
हुआ	hua
की	ki
तरह	tarah
करो	karo
तुम	tum
बस	bas
होए	hoe
तुम	tum
लोग	log
मज़ाक	mazaak
मत	mat
उड़ाओ	udao
इसका	iska
थोड़ी	thodi
गेहराही	gayrahi
मै	mai
झाँको	jhaanko
अरे	are
को	ko
बोल	bol
तू	tu
ह	h
मुसीबत	musibat
खतम	khatam
अगर	agar
ऐसे	aise
ही	hi
देते	dete
रह	rahe
तो	toh
उ	u
तेरे	tere
माँ	maa
बाबूजी	babuji
इस	is
पे	pe
ह	h
यार	yar
अब	ab
तू	tu
या	ya
फिर	fir
यार	yar
पे	pe
बेच	bech
दे	de
तू	tu
तो	to
बड़ा	bada
होशियार	hoshiyar
ही	he
अपने	apne
को	ko
बोला	bola
था	tha
भाइय़ा	bahiya
की	ki
क्या	kya
होती	hoti
है	hai
ये	ye
तो	tho
बताओ	batao
में	me
सर	sara
इशक	ishaq
मुशक	mushaq
का	ka
बुखार	bukhaar
निकल	nikal
जाएगा	jayega
क	k
पागल	pgl
की	ki
खुशी	khushi
कुछ	kucj
मीठा	mitha
हो	ho
जय	jay
भूतनि	bhootni
तेरी	teri
बढ़	bad
में	me
पुगा	pdunga
पहले	phele
क्र	kr
देता	dta
हू	hu
पर्त्य	party
आलिग	aligarh
पर्त्य	party
पर्त्य	party
इस	is
बार	bar
ने	ne
तो	tho
ने	ne
तेरी	teri
लिख	likh
कह	keh
कर	kar
हार	har
तरह	tarah
से	se
ले	le
ली	li
ओर	or
वबन	bn
ले	le
तो	tho
क्र	kr
लेता	leta
देख	dekh
कर	kar
हँस	has
रहि	rhi
या	ya
हँस	has
देख	dekh
रहि	rhi
ह	h
एक	ek
इन्सान	insaan
लिए	liye
लोगों	logo
को	ko
छोड़ने	chodne
को	ko
तैयार	tayar
हो	ho
जाते	jate
हैं	hain
हम	hum
फिर	fir
ब	b
नी	ni
होता	hota
लोगों	logo
को	ko
ही	hi
मैं	main
अपने	apne
की	ki
एक	ek
लड़की	ladki
को	ko
बहुत	bahut
पसन्द	pasand
करता	karta
हू	hu
वो	wo
वबहत	bht
सुन्दर	sundar
ह	h
के	ke
शुरू	shuru
क	k
दिनों	dino
में	me
मैंने	maine
उस	use
अपने	apne
दिल	dil
की	ki
बात	bat
बोली	boli
वो	wo
थी	thi
बड़ी	badi
तेज	tez
और	aur
तारार	tarrar
जैसे	jaise
बचपन	bachpan
से	se
ही	hi
किसी	kisi
से	se
पति	pati
हो	ho
सब	sab
जनती	janti
ह	h
वो	wo
कुछ	kuch
दिन	din
उस	use
बोला	bola
मानी	mani
नई	nai
फिर	fir
धीरे	dhire
धीरे	dhire
मुझे	mujhe
उसपे	uspe
गुस्सा	gussa
आने	ane
अगर	agar
कभी	kabhi
उसका	uska
आ	aa
जाता	jata
तो	to
वबहत	bht
खुश	khush
होता	hota
हू	hu
वो	wo
मेरे	mere
की	ki
नई	nai
ह	h
उस	use
घुमाना	ghumana
चाहता	chahta
था	tha
उस	us
से	se
प्यार	pyar
से	se
शाम	sham
को	ko
हाथो	hatho
में	me
हाथ	hath
पकड़	pakad
क	k
घुमना	ghoomna
चाहता	chahta
था	tha
उसके	uske
बारे	bare
में	me
कभी	kabhi
भी	bhi
गलत	galat
कहाँ	khayal
नई	nai
वो	wo
जो	jo
बोलती	bolti
मैं	main
प्यार	pyar
से	se
करता	karta
लेकिन	lekin
मैं	main
कोई	koi
का	ka
थोड़ी	thodi
हू	hu
जो	jo
थाप	thappad
खा	kha
क	k
ब	b
चुथिय़ा	chutiya
बनूंगा	banunga
अब	ab
मैं	main
उस	us
से	se
ज्यादा	jyada
बात	bat
नई	nai
करता	karta
किसी	kisi
लड़की	ladki
से	se
ब	b
नई	nai
ऑफिसर	officer
साला	sala
उसकी	uski
तरफ़	taraf
देखूंगा	dekhunga
ब	b
नई	nai
बस	bas
ऐसी	aisi
लड़की	ladki
करूँगा	karunga
जैसे	jise
मैं	main
हमेशा	hamesha
खुश	khush
रखूँगा	rakhunga
तीस	tees
मार	maar
खान	khan
का	ka
मजा	mza
हो	ho
जाएगा	jayega
क्या	kya
मजाक	mazak
को	ko
तो	to
कोई	koi
कुछ	kuch
समझता	samjhta
ही	he
स	s
क्र	kr
लिय़ा	lia
ह	h
क्या	kya
न	n
तेरी	teri
कह	keh
क्र	kr
लेंगे	lenge
चुप	chup
हो	ho
जा	ja
ये	ye
सवब	sb
के	ke
लिए	lie
बि	bi
तूने	tune
किया	kiya
ह	h
मतलवब	mtlb
अब	ab
हम	hum
हासे	haase
भी	bhi
शांति	shanti
से	se
नी	ni
देख	dekh
सकते	sakte
क्या	kya
मैं	main
समझ	samajh
गयी	gayi
तूने	tune
क्यू	kyu
डाला	daala
है	hai
